====================================
args:  Namespace(batch_size=50, encoder_layer=3, decoder_layer=4, d_layer=3, hidden_dim=32, noise_dim=15, dropout=0, opt='adam', seed=7777, data_dir='./datasets/Dataset_Dynamic_Trend_Preserve/County/train_test/', data_name='county_increasing_and_trough', opt_scheduler='step', opt_decay_step=80, opt_decay_rate=0.8, weight_decay=0, lr=0.001, epochs=500, ad_loss_weight=20, experiment_name='DT-VAE-GAN_county_increasing_and_trough', parent_dir='./experiments', dis_recon_loss_weight=0.8, recon_loss_weight=1.0)
====================================
[INFO] Using dataset: county_increasing_and_trough, Using device: cuda:0, Using seed: 7777
208, reconstruction_loss: -108.1231 kl_div: 27.8464, bce loss: 86.4153
209, reconstruction_loss: -115.6927 kl_div: 26.4837, bce loss: 87.9774
210, reconstruction_loss: -114.6032 kl_div: 24.5126, bce loss: 89.9224
211, reconstruction_loss: -116.5536 kl_div: 23.3594, bce loss: 90.5642
212, reconstruction_loss: -112.2377 kl_div: 21.8341, bce loss: 90.0463
213, reconstruction_loss: -114.7485 kl_div: 21.3802, bce loss: 88.5889
214, reconstruction_loss: -114.8133 kl_div: 21.7637, bce loss: 87.3374
215, reconstruction_loss: -100.1280 kl_div: 23.2814, bce loss: 87.7386
216, reconstruction_loss: -107.8446 kl_div: 26.4747, bce loss: 89.4133
217, reconstruction_loss: -101.4876 kl_div: 29.9070, bce loss: 90.6288
218, reconstruction_loss: -104.4268 kl_div: 29.4834, bce loss: 88.3622
219, reconstruction_loss: -108.7704 kl_div: 27.9025, bce loss: 86.8367
220, reconstruction_loss: -105.6797 kl_div: 26.5624, bce loss: 86.7897
221, reconstruction_loss: -114.6770 kl_div: 26.5470, bce loss: 88.8086
222, reconstruction_loss: -110.2408 kl_div: 26.0968, bce loss: 91.0775
223, reconstruction_loss: -113.2663 kl_div: 24.1048, bce loss: 90.4900
224, reconstruction_loss: -109.2461 kl_div: 22.5998, bce loss: 88.7802
225, reconstruction_loss: -113.3570 kl_div: 22.3017, bce loss: 87.3590
226, reconstruction_loss: -113.6387 kl_div: 22.8865, bce loss: 87.9233
227, reconstruction_loss: -113.9719 kl_div: 24.5987, bce loss: 89.5728
228, reconstruction_loss: -110.1874 kl_div: 25.9950, bce loss: 90.3059
229, reconstruction_loss: -111.2247 kl_div: 26.8627, bce loss: 89.0573
230, reconstruction_loss: -102.6629 kl_div: 28.4163, bce loss: 87.3636
231, reconstruction_loss: -110.3597 kl_div: 29.2127, bce loss: 88.2886
232, reconstruction_loss: -113.1657 kl_div: 28.9081, bce loss: 89.7683
233, reconstruction_loss: -114.6075 kl_div: 28.2350, bce loss: 90.3020
234, reconstruction_loss: -114.3312 kl_div: 27.7462, bce loss: 89.0468
235, reconstruction_loss: -114.6474 kl_div: 27.2730, bce loss: 87.7137
236, reconstruction_loss: -115.4696 kl_div: 26.6646, bce loss: 88.0894
237, reconstruction_loss: -112.4040 kl_div: 27.9115, bce loss: 90.0665
238, reconstruction_loss: -116.9377 kl_div: 29.8228, bce loss: 90.5628
239, reconstruction_loss: -112.1488 kl_div: 30.0715, bce loss: 89.2409
240, reconstruction_loss: -112.2508 kl_div: 29.8801, bce loss: 87.7504
241, reconstruction_loss: -113.0777 kl_div: 29.3293, bce loss: 87.8344
242, reconstruction_loss: -117.0391 kl_div: 29.7995, bce loss: 88.5355
243, reconstruction_loss: -117.3948 kl_div: 29.1556, bce loss: 90.3328
244, reconstruction_loss: -114.0354 kl_div: 29.6835, bce loss: 90.0917
245, reconstruction_loss: -115.1863 kl_div: 28.5108, bce loss: 89.0993
246, reconstruction_loss: -118.8164 kl_div: 27.6949, bce loss: 88.1066
247, reconstruction_loss: -116.0694 kl_div: 27.3903, bce loss: 88.2090
248, reconstruction_loss: -115.3517 kl_div: 28.3066, bce loss: 89.4548
249, reconstruction_loss: -113.8270 kl_div: 29.4358, bce loss: 90.4204
250, reconstruction_loss: -114.9983 kl_div: 29.9099, bce loss: 90.1810
251, reconstruction_loss: -112.1432 kl_div: 30.0791, bce loss: 89.0299
252, reconstruction_loss: -113.7884 kl_div: 30.5057, bce loss: 87.9883
253, reconstruction_loss: -114.2498 kl_div: 31.2828, bce loss: 88.2558
254, reconstruction_loss: -116.1436 kl_div: 31.2303, bce loss: 89.4798
255, reconstruction_loss: -117.8280 kl_div: 30.4856, bce loss: 90.4944
256, reconstruction_loss: -118.3396 kl_div: 28.5946, bce loss: 90.7045
257, reconstruction_loss: -115.0718 kl_div: 26.9707, bce loss: 89.7217
258, reconstruction_loss: -119.5102 kl_div: 27.1374, bce loss: 88.5246
259, reconstruction_loss: -116.7683 kl_div: 27.7958, bce loss: 87.9986
260, reconstruction_loss: -115.5464 kl_div: 29.8699, bce loss: 89.2734
261, reconstruction_loss: -118.7093 kl_div: 30.5535, bce loss: 90.3509
262, reconstruction_loss: -113.4345 kl_div: 30.5697, bce loss: 90.0999
263, reconstruction_loss: -114.0951 kl_div: 30.5955, bce loss: 88.9234
264, reconstruction_loss: -117.0773 kl_div: 31.2715, bce loss: 87.9575
265, reconstruction_loss: -114.1200 kl_div: 31.9456, bce loss: 88.5315
266, reconstruction_loss: -117.7576 kl_div: 31.4880, bce loss: 89.9077
267, reconstruction_loss: -115.0556 kl_div: 30.4800, bce loss: 90.5029
268, reconstruction_loss: -117.8038 kl_div: 28.8652, bce loss: 90.1740
269, reconstruction_loss: -119.1200 kl_div: 28.3032, bce loss: 89.7166
270, reconstruction_loss: -120.5601 kl_div: 27.8769, bce loss: 88.4780
271, reconstruction_loss: -114.5940 kl_div: 28.4928, bce loss: 88.7868
272, reconstruction_loss: -117.1287 kl_div: 30.6805, bce loss: 89.3292
273, reconstruction_loss: -115.6846 kl_div: 30.5778, bce loss: 90.1674
274, reconstruction_loss: -114.8710 kl_div: 30.2544, bce loss: 89.6741
275, reconstruction_loss: -113.3071 kl_div: 30.5719, bce loss: 88.3903
276, reconstruction_loss: -113.4763 kl_div: 32.2734, bce loss: 88.5481
277, reconstruction_loss: -117.1254 kl_div: 32.8025, bce loss: 89.4910
278, reconstruction_loss: -117.5426 kl_div: 30.8794, bce loss: 90.1137
279, reconstruction_loss: -118.3823 kl_div: 29.3767, bce loss: 90.2720
280, reconstruction_loss: -119.2975 kl_div: 27.8421, bce loss: 89.9845
281, reconstruction_loss: -116.0195 kl_div: 28.3559, bce loss: 89.1883
282, reconstruction_loss: -118.2387 kl_div: 29.4691, bce loss: 88.2832
283, reconstruction_loss: -111.4163 kl_div: 31.6423, bce loss: 89.7855
284, reconstruction_loss: -116.2493 kl_div: 32.3730, bce loss: 90.0934
285, reconstruction_loss: -108.0087 kl_div: 32.6870, bce loss: 89.9539
286, reconstruction_loss: -117.6718 kl_div: 34.1472, bce loss: 88.9702
287, reconstruction_loss: -112.5743 kl_div: 33.3682, bce loss: 89.0337
288, reconstruction_loss: -116.5930 kl_div: 32.7911, bce loss: 89.6333
289, reconstruction_loss: -118.2847 kl_div: 31.9640, bce loss: 90.3014
290, reconstruction_loss: -113.2641 kl_div: 30.4550, bce loss: 90.4171
291, reconstruction_loss: -119.1667 kl_div: 32.4836, bce loss: 89.6390
292, reconstruction_loss: -117.6926 kl_div: 31.8659, bce loss: 89.6570
293, reconstruction_loss: -116.9561 kl_div: 30.9942, bce loss: 89.0439
294, reconstruction_loss: -112.6913 kl_div: 31.8231, bce loss: 89.8050
295, reconstruction_loss: -115.8236 kl_div: 33.4105, bce loss: 90.3917
